,precision,recall,f1-score,support
0,0.9358974358974359,0.9125,0.9240506329113924,80.0
1,0.06666666666666667,1.0,0.125,1.0
2,0.0027137042062415195,1.0,0.005412719891745603,2.0
3,0.8575949367088608,0.8416149068322981,0.8495297805642633,322.0
4,0.9933774834437086,0.9868421052631579,0.9900990099009901,152.0
5,1.0,1.0,1.0,7.0
6,0.9310344827586207,0.9310344827586207,0.9310344827586207,29.0
7,1.0,0.6571428571428571,0.7931034482758621,35.0
8,0.42857142857142855,0.9,0.5806451612903226,10.0
9,0.9311740890688259,0.9745762711864406,0.9523809523809523,236.0
10,0.5,0.5,0.5,8.0
11,1.0,1.0,1.0,54.0
12,0.9642857142857143,1.0,0.9818181818181818,54.0
13,0.7222222222222222,0.7222222222222222,0.7222222222222222,18.0
14,0.4,0.4444444444444444,0.42105263157894735,9.0
15,0.6,1.0,0.75,6.0
16,0.5555555555555556,0.625,0.5882352941176471,8.0
17,0.8888888888888888,0.8333333333333334,0.8602150537634409,48.0
18,0.9454545454545454,0.9701492537313433,0.9576427255985267,268.0
19,0.9285714285714286,0.9285714285714286,0.9285714285714286,14.0
20,0.95,0.8636363636363636,0.9047619047619048,22.0
21,0.4,1.0,0.5714285714285714,2.0
22,0.3333333333333333,1.0,0.5,2.0
23,0.02702702702702703,0.5,0.05128205128205128,2.0
24,0.55,0.7586206896551724,0.6376811594202898,29.0
25,1.0,0.6,0.75,5.0
26,0.6666666666666666,0.6666666666666666,0.6666666666666666,3.0
27,0.9203539823008849,0.9285714285714286,0.9244444444444444,112.0
28,0.7125,0.8636363636363636,0.7808219178082192,66.0
29,0.2727272727272727,0.75,0.4,4.0
30,0.7647058823529411,0.7647058823529411,0.7647058823529411,17.0
31,0.8,0.6666666666666666,0.7272727272727273,18.0
32,0.6666666666666666,0.6363636363636364,0.6511627906976745,22.0
33,0.5714285714285714,0.8571428571428571,0.6857142857142857,14.0
34,0.9112903225806451,0.8828125,0.8968253968253969,128.0
35,0.84375,0.6835443037974683,0.7552447552447552,79.0
36,0.975609756097561,0.9815950920245399,0.9785932721712538,163.0
37,0.868421052631579,0.7857142857142857,0.825,42.0
38,0.8125,0.65,0.7222222222222222,20.0
39,1.0,0.8181818181818182,0.9,11.0
40,0.72,0.8181818181818182,0.7659574468085106,44.0
41,0.9166666666666666,0.6111111111111112,0.7333333333333333,18.0
42,0.7857142857142857,0.9705882352941176,0.868421052631579,34.0
43,0.9320388349514563,0.897196261682243,0.9142857142857143,214.0
44,0.9333333333333333,0.7777777777777778,0.8484848484848485,18.0
45,0.9333333333333333,0.8415300546448088,0.8850574712643678,183.0
46,0.988421052631579,0.9740663900414938,0.9811912225705329,964.0
47,0.8051948051948052,0.8051948051948052,0.8051948051948052,77.0
48,0.8205128205128205,0.7619047619047619,0.7901234567901234,42.0
49,0.6304347826086957,0.725,0.6744186046511628,40.0
50,1.0,0.9655172413793104,0.9824561403508771,29.0
51,0.02857142857142857,0.5,0.05405405405405406,2.0
52,0.0136986301369863,1.0,0.02702702702702703,1.0
53,0.6666666666666666,1.0,0.8,2.0
54,0.9326923076923077,0.8434782608695652,0.8858447488584474,115.0
55,0.6666666666666666,0.8727272727272727,0.7559055118110236,55.0
56,0.9090909090909091,1.0,0.9523809523809523,10.0
57,0.5555555555555556,0.4166666666666667,0.47619047619047616,12.0
58,0.8793103448275862,0.6623376623376623,0.7555555555555555,77.0
59,0.9193548387096774,0.890625,0.9047619047619048,64.0
60,0.6666666666666666,0.6666666666666666,0.6666666666666666,3.0
61,0.9622751015670342,0.9880810488676997,0.9750073507791825,1678.0
62,0.975609756097561,0.975609756097561,0.975609756097561,82.0
63,0.6792452830188679,0.7128712871287128,0.6956521739130435,101.0
64,0.1111111111111111,0.3333333333333333,0.16666666666666666,3.0
65,0.875,1.0,0.9333333333333333,14.0
66,0.6666666666666666,0.6666666666666666,0.6666666666666666,3.0
67,0.25,0.3333333333333333,0.2857142857142857,3.0
68,0.05263157894736842,0.5,0.09523809523809523,2.0
69,0.8918918918918919,0.7586206896551724,0.8198757763975155,87.0
70,1.0,1.0,1.0,8.0
micro avg,0.7962752345749218,0.9171442606844604,0.8524465413591051,6107.0
macro avg,0.7164414709147214,0.8049912107247735,0.719660801020229,6107.0
weighted avg,0.91878304671968,0.9171442606844604,0.9155136592986134,6107.0
samples avg,0.842425192198229,0.9376834619458314,0.8731196035547054,6107.0

Macro-average ROC AUC: 0.90
