,precision,recall,f1-score,support
0,0.935064935064935,0.9,0.9171974522292994,80.0
1,0.3333333333333333,1.0,0.5,1.0
2,0.006211180124223602,0.5,0.012269938650306749,2.0
3,0.8589341692789969,0.8509316770186336,0.8549141965678627,322.0
4,0.9743589743589743,1.0,0.987012987012987,152.0
5,1.0,1.0,1.0,7.0
6,1.0,0.9655172413793104,0.9824561403508771,29.0
7,0.90625,0.8285714285714286,0.8656716417910447,35.0
8,0.8333333333333334,0.5,0.625,10.0
9,0.9605263157894737,0.9279661016949152,0.9439655172413793,236.0
10,1.0,0.25,0.4,8.0
11,0.9814814814814815,0.9814814814814815,0.9814814814814815,54.0
12,0.9310344827586207,1.0,0.9642857142857143,54.0
13,0.8,0.6666666666666666,0.7272727272727273,18.0
14,0.375,0.6666666666666666,0.48,9.0
15,1.0,0.5,0.6666666666666666,6.0
16,1.0,0.375,0.5454545454545454,8.0
17,0.9736842105263158,0.7708333333333334,0.8604651162790697,48.0
18,0.9659090909090909,0.9514925373134329,0.9586466165413534,268.0
19,1.0,0.8571428571428571,0.9230769230769231,14.0
20,0.875,0.9545454545454546,0.9130434782608695,22.0
21,0.6666666666666666,1.0,0.8,2.0
22,0.14285714285714285,0.5,0.2222222222222222,2.0
23,0.043478260869565216,0.5,0.08,2.0
24,0.75,0.7241379310344828,0.7368421052631579,29.0
25,0.75,0.6,0.6666666666666666,5.0
26,0.6666666666666666,0.6666666666666666,0.6666666666666666,3.0
27,0.9719626168224299,0.9285714285714286,0.9497716894977168,112.0
28,0.7794117647058824,0.803030303030303,0.7910447761194029,66.0
29,0.1,0.5,0.16666666666666666,4.0
30,0.9230769230769231,0.7058823529411765,0.8,17.0
31,0.8571428571428571,0.6666666666666666,0.75,18.0
32,0.6521739130434783,0.6818181818181818,0.6666666666666666,22.0
33,0.47368421052631576,0.6428571428571429,0.5454545454545454,14.0
34,0.923728813559322,0.8515625,0.8861788617886179,128.0
35,0.9473684210526315,0.6835443037974683,0.7941176470588235,79.0
36,0.99375,0.9754601226993865,0.9845201238390093,163.0
37,0.8181818181818182,0.8571428571428571,0.8372093023255814,42.0
38,0.7142857142857143,0.75,0.7317073170731707,20.0
39,1.0,0.6363636363636364,0.7777777777777778,11.0
40,0.9655172413793104,0.6363636363636364,0.7671232876712328,44.0
41,0.7058823529411765,0.6666666666666666,0.6857142857142857,18.0
42,0.7692307692307693,0.8823529411764706,0.821917808219178,34.0
43,0.9356435643564357,0.883177570093458,0.9086538461538461,214.0
44,0.8235294117647058,0.7777777777777778,0.8,18.0
45,0.8877005347593583,0.907103825136612,0.8972972972972973,183.0
46,0.9802494802494802,0.9782157676348547,0.9792315680166147,964.0
47,0.8529411764705882,0.7532467532467533,0.8,77.0
48,0.9310344827586207,0.6428571428571429,0.7605633802816901,42.0
49,0.9130434782608695,0.525,0.6666666666666666,40.0
50,1.0,0.9655172413793104,0.9824561403508771,29.0
51,0.16666666666666666,1.0,0.2857142857142857,2.0
52,0.010638297872340425,1.0,0.021052631578947368,1.0
53,0.5,1.0,0.6666666666666666,2.0
54,0.9428571428571428,0.8608695652173913,0.9,115.0
55,0.813953488372093,0.6363636363636364,0.7142857142857143,55.0
56,1.0,0.7,0.8235294117647058,10.0
57,0.5,0.5,0.5,12.0
58,0.7638888888888888,0.7142857142857143,0.738255033557047,77.0
59,0.9076923076923077,0.921875,0.9147286821705426,64.0
60,0.6666666666666666,0.6666666666666666,0.6666666666666666,3.0
61,0.9676470588235294,0.9803337306317044,0.9739490822972173,1678.0
62,0.9642857142857143,0.9878048780487805,0.9759036144578314,82.0
63,0.7837837837837838,0.5742574257425742,0.6628571428571428,101.0
64,0.018518518518518517,0.3333333333333333,0.03508771929824561,3.0
65,0.8666666666666667,0.9285714285714286,0.896551724137931,14.0
66,1.0,0.6666666666666666,0.8,3.0
67,0.14285714285714285,0.3333333333333333,0.2,3.0
68,0.1111111111111111,0.5,0.18181818181818182,2.0
69,0.9142857142857143,0.735632183908046,0.8152866242038217,87.0
70,1.0,1.0,1.0,8.0
micro avg,0.8783009863188037,0.9040445390535451,0.8909868474138627,6107.0
macro avg,0.7562091402526169,0.7574477806268386,0.7155545301422033,6107.0
weighted avg,0.9317291550207966,0.9040445390535451,0.9143899025403225,6107.0
samples avg,0.9118413563034534,0.9314581847264553,0.9106779933520208,6107.0

Macro-average ROC AUC: 0.88
